date,avg
1/1/2012,19
1/2/2012,15
1/3/2012,16
1/4/2012,15
1/5/2012,18
1/6/2012,17
1/7/2012,17
1/8/2012,21
1/9/2012,23
1/10/2012,19
1/11/2012,18
1/12/2012,20
1/13/2012,26
1/14/2012,24
1/15/2012,16
1/16/2012,17
1/17/2012,19
1/18/2012,20
1/19/2012,17
1/20/2012,20
1/21/2012,14
1/22/2012,13
1/23/2012,13
1/24/2012,14
1/25/2012,14
1/26/2012,14
1/27/2012,16
1/28/2012,16
1/29/2012,21
1/30/2012,21
1/31/2012,27
2/1/2012,28
2/2/2012,25
2/3/2012,27
2/4/2012,22
2/5/2012,21
2/6/2012,22
2/7/2012,25
2/8/2012,28
2/9/2012,34
2/10/2012,29
2/11/2012,29
2/12/2012,27
2/13/2012,23
2/14/2012,29
2/15/2012,45
2/16/2012,41
2/17/2012,88
2/18/2012,97
2/19/2012,52
2/20/2012,48
2/21/2012,51
2/22/2012,53
2/23/2012,75
2/24/2012,82
2/25/2012,122
2/26/2012,117
2/27/2012,81
2/28/2012,79
2/29/2012,83
3/1/2012,89
3/2/2012,100
3/3/2012,86
3/4/2012,74
3/5/2012,85
3/6/2012,105
3/7/2012,120
3/8/2012,120
3/9/2012,147
3/10/2012,110
3/11/2012,34
3/12/2012,34
3/13/2012,31
3/14/2012,29
3/15/2012,38
3/16/2012,40
3/17/2012,66
3/18/2012,120
3/19/2012,127
3/20/2012,104
3/21/2012,85
3/22/2012,74
3/23/2012,73
3/24/2012,67
3/25/2012,60
3/26/2012,50
3/27/2012,46
3/28/2012,51
3/29/2012,64
3/30/2012,72
3/31/2012,90
4/1/2012,58
4/2/2012,55
4/3/2012,58
4/4/2012,68
4/5/2012,31
4/6/2012,31
4/7/2012,16
4/8/2012,23
4/9/2012,24
4/10/2012,27
4/11/2012,29
4/12/2012,36
4/13/2012,46
4/14/2012,43
4/15/2012,44
4/16/2012,39
4/17/2012,36
4/18/2012,38
4/19/2012,38
4/20/2012,36
4/21/2012,48
